Loading raw data...
  Raw videos: 23865
  After dedup: 23865 unique videos

=== LLM classification (backlash vs neutral) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 23865
  Pending: 23865 (skipping 0 already classified)
    [3400/23865] 14.2/s | YES: 2347 NO: 1053 | errors: 0 | ETA: 24.1m
    [3450/23865] 14.2/s | YES: 2391 NO: 1059 | errors: 0 | ETA: 24.0m
    [3500/23865] 14.2/s | YES: 2439 NO: 1061 | errors: 0 | ETA: 24.0m
    [3550/23865] 14.1/s | YES: 2487 NO: 1063 | errors: 0 | ETA: 23.9m
    [3600/23865] 14.1/s | YES: 2525 NO: 1075 | errors: 0 | ETA: 23.9m
    [3650/23865] 14.1/s | YES: 2564 NO: 1086 | errors: 0 | ETA: 23.9m
    [3700/23865] 14.1/s | YES: 2607 NO: 1093 | errors: 0 | ETA: 23.8m
    [3750/23865] 14.1/s | YES: 2649 NO: 1101 | errors: 0 | ETA: 23.7m
    [3800/23865] 14.1/s | YES: 2690 NO: 1110 | errors: 0 | ETA: 23.6m
    [3850/23865] 14.2/s | YES: 2732 NO: 1118 | errors: 0 | ETA: 23.6m
    [3900/23865] 14.2/s | YES: 2774 NO: 1126 | errors: 0 | ETA: 23.5m
    [3950/23865] 14.2/s | YES: 2799 NO: 1151 | errors: 0 | ETA: 23.4m
    [4000/23865] 14.2/s | YES: 2816 NO: 1184 | errors: 0 | ETA: 23.4m
    [4050/23865] 14.2/s | YES: 2837 NO: 1213 | errors: 0 | ETA: 23.3m
    [4100/23865] 14.2/s | YES: 2852 NO: 1248 | errors: 0 | ETA: 23.2m
    [4150/23865] 14.2/s | YES: 2873 NO: 1277 | errors: 0 | ETA: 23.1m
    [4200/23865] 14.2/s | YES: 2893 NO: 1307 | errors: 0 | ETA: 23.0m
    [4250/23865] 14.3/s | YES: 2903 NO: 1347 | errors: 0 | ETA: 22.9m
    [4300/23865] 14.3/s | YES: 2907 NO: 1393 | errors: 0 | ETA: 22.9m
    [4350/23865] 14.3/s | YES: 2911 NO: 1439 | errors: 0 | ETA: 22.8m
    [4400/23865] 14.3/s | YES: 2917 NO: 1483 | errors: 0 | ETA: 22.8m
    [4450/23865] 14.3/s | YES: 2920 NO: 1530 | errors: 0 | ETA: 22.7m
    [4500/23865] 14.3/s | YES: 2926 NO: 1574 | errors: 0 | ETA: 22.6m
    [4550/23865] 14.3/s | YES: 2933 NO: 1617 | errors: 0 | ETA: 22.6m
    [4600/23865] 14.3/s | YES: 2934 NO: 1666 | errors: 0 | ETA: 22.5m
    [4650/23865] 14.2/s | YES: 2937 NO: 1713 | errors: 0 | ETA: 22.5m
    [4700/23865] 14.2/s | YES: 2942 NO: 1758 | errors: 0 | ETA: 22.4m
    [4750/23865] 14.2/s | YES: 2946 NO: 1804 | errors: 0 | ETA: 22.4m
    [4800/23865] 14.2/s | YES: 2951 NO: 1849 | errors: 0 | ETA: 22.3m
    [4850/23865] 14.3/s | YES: 2957 NO: 1893 | errors: 0 | ETA: 22.2m
    [4900/23865] 14.3/s | YES: 2960 NO: 1940 | errors: 0 | ETA: 22.1m
    [4950/23865] 14.3/s | YES: 2965 NO: 1985 | errors: 0 | ETA: 22.1m
    [5000/23865] 14.3/s | YES: 2972 NO: 2028 | errors: 0 | ETA: 22.0m
    [5050/23865] 14.3/s | YES: 2983 NO: 2067 | errors: 0 | ETA: 22.0m
    [5100/23865] 14.3/s | YES: 2995 NO: 2105 | errors: 0 | ETA: 21.9m
    [5150/23865] 14.3/s | YES: 3015 NO: 2135 | errors: 0 | ETA: 21.9m
    [5200/23865] 14.3/s | YES: 3032 NO: 2168 | errors: 0 | ETA: 21.8m
    [5250/23865] 14.3/s | YES: 3043 NO: 2207 | errors: 0 | ETA: 21.7m
    [5300/23865] 14.3/s | YES: 3060 NO: 2240 | errors: 0 | ETA: 21.6m
    [5350/23865] 14.3/s | YES: 3088 NO: 2262 | errors: 0 | ETA: 21.6m
    [5400/23865] 14.3/s | YES: 3102 NO: 2298 | errors: 0 | ETA: 21.5m
    [5450/23865] 14.3/s | YES: 3125 NO: 2325 | errors: 0 | ETA: 21.5m
    [5500/23865] 14.3/s | YES: 3144 NO: 2356 | errors: 0 | ETA: 21.4m
    [5550/23865] 14.3/s | YES: 3158 NO: 2392 | errors: 0 | ETA: 21.3m
    [5600/23865] 14.3/s | YES: 3166 NO: 2434 | errors: 0 | ETA: 21.2m
    [5650/23865] 14.3/s | YES: 3191 NO: 2459 | errors: 0 | ETA: 21.2m
    [5700/23865] 14.3/s | YES: 3209 NO: 2491 | errors: 0 | ETA: 21.1m
    [5750/23865] 14.3/s | YES: 3226 NO: 2524 | errors: 0 | ETA: 21.0m
    [5800/23865] 14.4/s | YES: 3245 NO: 2555 | errors: 0 | ETA: 21.0m
    [5850/23865] 14.4/s | YES: 3274 NO: 2576 | errors: 0 | ETA: 20.9m
    [5900/23865] 14.4/s | YES: 3302 NO: 2598 | errors: 0 | ETA: 20.8m
    [5950/23865] 14.4/s | YES: 3333 NO: 2617 | errors: 0 | ETA: 20.8m
    [6000/23865] 14.4/s | YES: 3358 NO: 2642 | errors: 0 | ETA: 20.7m
    [6050/23865] 14.4/s | YES: 3390 NO: 2660 | errors: 0 | ETA: 20.6m
    [6100/23865] 14.4/s | YES: 3412 NO: 2688 | errors: 0 | ETA: 20.6m
    [6150/23865] 14.4/s | YES: 3439 NO: 2711 | errors: 0 | ETA: 20.5m
    [6200/23865] 14.4/s | YES: 3462 NO: 2738 | errors: 0 | ETA: 20.5m
    [6250/23865] 14.4/s | YES: 3486 NO: 2764 | errors: 0 | ETA: 20.4m
    [6300/23865] 14.4/s | YES: 3509 NO: 2791 | errors: 0 | ETA: 20.4m
    [6350/23865] 14.4/s | YES: 3526 NO: 2824 | errors: 0 | ETA: 20.3m
    [6400/23865] 14.4/s | YES: 3547 NO: 2853 | errors: 0 | ETA: 20.3m
    [6450/23865] 14.3/s | YES: 3568 NO: 2882 | errors: 0 | ETA: 20.2m
    [6500/23865] 14.4/s | YES: 3594 NO: 2906 | errors: 0 | ETA: 20.2m
    [6550/23865] 14.4/s | YES: 3614 NO: 2936 | errors: 0 | ETA: 20.1m
    [6600/23865] 14.4/s | YES: 3634 NO: 2966 | errors: 0 | ETA: 20.0m
    [6650/23865] 14.4/s | YES: 3656 NO: 2994 | errors: 0 | ETA: 19.9m
    [6700/23865] 14.4/s | YES: 3670 NO: 3030 | errors: 0 | ETA: 19.9m
    [6750/23865] 14.4/s | YES: 3692 NO: 3058 | errors: 0 | ETA: 19.8m
    [6800/23865] 14.4/s | YES: 3718 NO: 3082 | errors: 0 | ETA: 19.8m
    [6850/23865] 14.4/s | YES: 3742 NO: 3108 | errors: 0 | ETA: 19.7m
    [6900/23865] 14.4/s | YES: 3761 NO: 3139 | errors: 0 | ETA: 19.7m
    [6950/23865] 14.4/s | YES: 3783 NO: 3167 | errors: 0 | ETA: 19.6m
    [7000/23865] 14.4/s | YES: 3802 NO: 3198 | errors: 0 | ETA: 19.6m
    [7050/23865] 14.4/s | YES: 3816 NO: 3234 | errors: 0 | ETA: 19.5m
    [7100/23865] 14.4/s | YES: 3823 NO: 3277 | errors: 0 | ETA: 19.4m
    [7150/23865] 14.4/s | YES: 3833 NO: 3317 | errors: 0 | ETA: 19.3m
    [7200/23865] 14.4/s | YES: 3853 NO: 3347 | errors: 0 | ETA: 19.3m
    [7250/23865] 14.4/s | YES: 3859 NO: 3391 | errors: 0 | ETA: 19.2m
    [7300/23865] 14.4/s | YES: 3871 NO: 3429 | errors: 0 | ETA: 19.1m
    [7350/23865] 14.4/s | YES: 3881 NO: 3469 | errors: 0 | ETA: 19.1m
    [7400/23865] 14.4/s | YES: 3924 NO: 3476 | errors: 0 | ETA: 19.0m
    [7450/23865] 14.4/s | YES: 3966 NO: 3484 | errors: 0 | ETA: 19.0m
    [7500/23865] 14.4/s | YES: 4011 NO: 3489 | errors: 0 | ETA: 18.9m
    [7550/23865] 14.4/s | YES: 4051 NO: 3499 | errors: 0 | ETA: 18.8m
    [7600/23865] 14.4/s | YES: 4092 NO: 3508 | errors: 0 | ETA: 18.8m
    [7650/23865] 14.5/s | YES: 4131 NO: 3519 | errors: 0 | ETA: 18.7m
    [7700/23865] 14.4/s | YES: 4153 NO: 3547 | errors: 0 | ETA: 18.7m
    [7750/23865] 14.4/s | YES: 4177 NO: 3573 | errors: 0 | ETA: 18.6m
    [7800/23865] 14.4/s | YES: 4200 NO: 3600 | errors: 0 | ETA: 18.6m
    [7850/23865] 14.4/s | YES: 4229 NO: 3621 | errors: 0 | ETA: 18.5m
