Loading raw data...
  Raw videos: 8108
  After dedup: 8108 unique videos

=== LLM classification (backlash vs neutral) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 8108
  Pending: 8108 (skipping 0 already classified)
    [3400/8108] 11.3/s | YES: 1684 NO: 1706 | errors: 0 | ETA: 6.9m
    [3450/8108] 10.6/s | YES: 1699 NO: 1741 | errors: 0 | ETA: 7.3m
    [3500/8108] 10.0/s | YES: 1721 NO: 1768 | errors: 0 | ETA: 7.7m
    [3550/8108] 9.4/s | YES: 1742 NO: 1797 | errors: 0 | ETA: 8.1m
    [3600/8108] 9.0/s | YES: 1784 NO: 1805 | errors: 0 | ETA: 8.4m
    [3650/8108] 8.6/s | YES: 1819 NO: 1820 | errors: 0 | ETA: 8.6m
    [3700/8108] 8.3/s | YES: 1842 NO: 1847 | errors: 0 | ETA: 8.9m
    [3750/8108] 8.0/s | YES: 1863 NO: 1876 | errors: 0 | ETA: 9.1m
    [3800/8108] 7.6/s | YES: 1886 NO: 1903 | errors: 0 | ETA: 9.4m
    [3850/8108] 7.4/s | YES: 1898 NO: 1941 | errors: 0 | ETA: 9.6m
    [3900/8108] 7.3/s | YES: 1921 NO: 1968 | errors: 0 | ETA: 9.6m
    [3950/8108] 7.3/s | YES: 1935 NO: 2004 | errors: 0 | ETA: 9.4m
    [4000/8108] 7.4/s | YES: 1967 NO: 2022 | errors: 0 | ETA: 9.3m
    [4050/8108] 7.4/s | YES: 2002 NO: 2037 | errors: 0 | ETA: 9.1m
    [4100/8108] 7.5/s | YES: 2031 NO: 2057 | errors: 0 | ETA: 8.9m
    [4150/8108] 7.5/s | YES: 2054 NO: 2084 | errors: 0 | ETA: 8.8m
    [4200/8108] 7.6/s | YES: 2074 NO: 2112 | errors: 0 | ETA: 8.6m
    [4250/8108] 7.6/s | YES: 2096 NO: 2139 | errors: 0 | ETA: 8.4m
    [4300/8108] 7.6/s | YES: 2122 NO: 2163 | errors: 0 | ETA: 8.3m
    [4350/8108] 7.7/s | YES: 2153 NO: 2182 | errors: 0 | ETA: 8.1m
    [4400/8108] 7.7/s | YES: 2177 NO: 2208 | errors: 0 | ETA: 8.0m
    [4450/8108] 7.8/s | YES: 2202 NO: 2233 | errors: 0 | ETA: 7.9m
    [4500/8108] 7.8/s | YES: 2228 NO: 2257 | errors: 0 | ETA: 7.7m
    [4550/8108] 7.8/s | YES: 2265 NO: 2270 | errors: 0 | ETA: 7.6m
    [4600/8108] 7.9/s | YES: 2295 NO: 2290 | errors: 0 | ETA: 7.4m
    [4650/8108] 7.9/s | YES: 2329 NO: 2305 | errors: 0 | ETA: 7.3m
    [4700/8108] 8.0/s | YES: 2363 NO: 2321 | errors: 0 | ETA: 7.1m
    [4750/8108] 8.0/s | YES: 2403 NO: 2331 | errors: 0 | ETA: 7.0m
    [4800/8108] 8.0/s | YES: 2446 NO: 2338 | errors: 0 | ETA: 6.9m
    [4850/8108] 8.1/s | YES: 2485 NO: 2349 | errors: 0 | ETA: 6.7m
    [4900/8108] 8.1/s | YES: 2522 NO: 2361 | errors: 0 | ETA: 6.6m
    [4950/8108] 8.1/s | YES: 2552 NO: 2381 | errors: 0 | ETA: 6.5m
    [5000/8108] 8.2/s | YES: 2580 NO: 2403 | errors: 0 | ETA: 6.3m
    [5050/8108] 8.2/s | YES: 2611 NO: 2422 | errors: 0 | ETA: 6.2m
    [5100/8108] 8.3/s | YES: 2646 NO: 2437 | errors: 0 | ETA: 6.1m
    [5150/8108] 8.3/s | YES: 2688 NO: 2444 | errors: 0 | ETA: 5.9m
    [5200/8108] 8.3/s | YES: 2720 NO: 2462 | errors: 0 | ETA: 5.8m
    [5250/8108] 8.4/s | YES: 2759 NO: 2473 | errors: 0 | ETA: 5.7m
    [5300/8108] 8.4/s | YES: 2774 NO: 2508 | errors: 0 | ETA: 5.6m
    [5350/8108] 8.4/s | YES: 2784 NO: 2547 | errors: 0 | ETA: 5.4m
    [5400/8108] 8.5/s | YES: 2803 NO: 2578 | errors: 0 | ETA: 5.3m
    [5450/8108] 8.5/s | YES: 2820 NO: 2611 | errors: 0 | ETA: 5.2m
    [5500/8108] 8.5/s | YES: 2852 NO: 2629 | errors: 0 | ETA: 5.1m
    [5550/8108] 8.6/s | YES: 2885 NO: 2646 | errors: 0 | ETA: 5.0m
    [5600/8108] 8.6/s | YES: 2915 NO: 2665 | errors: 0 | ETA: 4.9m
    [5650/8108] 8.6/s | YES: 2952 NO: 2678 | errors: 0 | ETA: 4.8m
    [5700/8108] 8.6/s | YES: 2978 NO: 2702 | errors: 0 | ETA: 4.6m
    [5750/8108] 8.7/s | YES: 3011 NO: 2719 | errors: 0 | ETA: 4.5m
    [5800/8108] 8.7/s | YES: 3038 NO: 2742 | errors: 0 | ETA: 4.4m
    [5850/8108] 8.7/s | YES: 3067 NO: 2762 | errors: 0 | ETA: 4.3m
