Raw input    : C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\raw\tiktok_positive_raw.json
Polarity     : positive
Output CSV   : C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filtered.csv
Progress file: C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filter_progress.json

Loading raw data...
  Raw videos: 7543
  After dedup: 7543 unique videos

=== LLM classification (positive vs not) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 7543
  Progress file: C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filter_progress.json
  Output column: _positive
  Pending: 7543 (skipping 0 already classified)
    [3150/7543] 5.9/s | YES: 2167 NO: 953 | errors: 0 | ETA: 12.4m
    [3200/7543] 5.8/s | YES: 2206 NO: 962 | errors: 0 | ETA: 12.5m
    [3250/7543] 5.7/s | YES: 2240 NO: 978 | errors: 0 | ETA: 12.6m
    [3300/7543] 5.7/s | YES: 2274 NO: 993 | errors: 0 | ETA: 12.4m
    [3350/7543] 5.7/s | YES: 2299 NO: 1017 | errors: 0 | ETA: 12.3m
    [3400/7543] 5.7/s | YES: 2317 NO: 1047 | errors: 0 | ETA: 12.1m
    [3450/7543] 5.6/s | YES: 2334 NO: 1080 | errors: 0 | ETA: 12.1m
    [3500/7543] 5.6/s | YES: 2373 NO: 1090 | errors: 0 | ETA: 12.0m
    [3550/7543] 5.6/s | YES: 2416 NO: 1097 | errors: 0 | ETA: 11.9m
    [3600/7543] 5.6/s | YES: 2450 NO: 1112 | errors: 0 | ETA: 11.7m
    [3650/7543] 5.6/s | YES: 2487 NO: 1124 | errors: 0 | ETA: 11.5m
    [3700/7543] 5.7/s | YES: 2507 NO: 1152 | errors: 0 | ETA: 11.3m
    [3750/7543] 5.7/s | YES: 2524 NO: 1183 | errors: 0 | ETA: 11.1m
    [3800/7543] 5.7/s | YES: 2538 NO: 1216 | errors: 0 | ETA: 10.9m
    [3850/7543] 5.8/s | YES: 2569 NO: 1233 | errors: 0 | ETA: 10.7m
    [3900/7543] 5.8/s | YES: 2599 NO: 1252 | errors: 0 | ETA: 10.5m
    [3950/7543] 5.8/s | YES: 2622 NO: 1278 | errors: 0 | ETA: 10.2m
    [4000/7543] 5.9/s | YES: 2641 NO: 1309 | errors: 0 | ETA: 10.0m
    [4050/7543] 5.9/s | YES: 2661 NO: 1339 | errors: 0 | ETA: 9.8m
    [4100/7543] 6.0/s | YES: 2698 NO: 1350 | errors: 0 | ETA: 9.6m
    [4150/7543] 6.0/s | YES: 2739 NO: 1358 | errors: 0 | ETA: 9.4m
    [4200/7543] 6.0/s | YES: 2781 NO: 1366 | errors: 0 | ETA: 9.2m
    [4250/7543] 6.1/s | YES: 2825 NO: 1372 | errors: 0 | ETA: 9.0m
    [4300/7543] 6.1/s | YES: 2859 NO: 1387 | errors: 0 | ETA: 8.8m
    [4350/7543] 6.2/s | YES: 2886 NO: 1408 | errors: 0 | ETA: 8.6m
    [4400/7543] 6.2/s | YES: 2921 NO: 1422 | errors: 0 | ETA: 8.5m
    [4450/7543] 6.2/s | YES: 2952 NO: 1439 | errors: 0 | ETA: 8.3m
    [4500/7543] 6.3/s | YES: 2991 NO: 1449 | errors: 0 | ETA: 8.1m
    [4550/7543] 6.3/s | YES: 3032 NO: 1457 | errors: 0 | ETA: 7.9m
    [4600/7543] 6.3/s | YES: 3069 NO: 1470 | errors: 0 | ETA: 7.7m
    [4650/7543] 6.4/s | YES: 3112 NO: 1477 | errors: 0 | ETA: 7.6m
    [4700/7543] 6.4/s | YES: 3159 NO: 1480 | errors: 0 | ETA: 7.4m
    [4750/7543] 6.5/s | YES: 3203 NO: 1486 | errors: 0 | ETA: 7.2m
    [4800/7543] 6.5/s | YES: 3248 NO: 1491 | errors: 0 | ETA: 7.0m
    [4850/7543] 6.5/s | YES: 3294 NO: 1494 | errors: 0 | ETA: 6.9m
    [4900/7543] 6.6/s | YES: 3339 NO: 1499 | errors: 0 | ETA: 6.7m
    [4950/7543] 6.6/s | YES: 3377 NO: 1511 | errors: 0 | ETA: 6.5m
    [5000/7543] 6.6/s | YES: 3420 NO: 1518 | errors: 0 | ETA: 6.4m
    [5050/7543] 6.7/s | YES: 3466 NO: 1522 | errors: 0 | ETA: 6.2m
    [5100/7543] 6.7/s | YES: 3507 NO: 1531 | errors: 0 | ETA: 6.1m
    [5150/7543] 6.8/s | YES: 3539 NO: 1548 | errors: 0 | ETA: 5.9m
    [5200/7543] 6.8/s | YES: 3579 NO: 1557 | errors: 0 | ETA: 5.8m
    [5250/7543] 6.8/s | YES: 3624 NO: 1562 | errors: 0 | ETA: 5.6m
    [5300/7543] 6.9/s | YES: 3668 NO: 1568 | errors: 0 | ETA: 5.4m
    [5350/7543] 6.9/s | YES: 3707 NO: 1576 | errors: 0 | ETA: 5.3m
    [5400/7543] 6.9/s | YES: 3748 NO: 1585 | errors: 0 | ETA: 5.2m
    [5450/7543] 7.0/s | YES: 3787 NO: 1596 | errors: 0 | ETA: 5.0m
    [5500/7543] 7.0/s | YES: 3824 NO: 1609 | errors: 0 | ETA: 4.9m
    [5550/7543] 7.0/s | YES: 3863 NO: 1620 | errors: 0 | ETA: 4.7m
    [5600/7543] 7.1/s | YES: 3892 NO: 1639 | errors: 0 | ETA: 4.6m
    [5650/7543] 7.1/s | YES: 3923 NO: 1656 | errors: 0 | ETA: 4.5m
    [5700/7543] 7.1/s | YES: 3964 NO: 1665 | errors: 0 | ETA: 4.3m
    [5750/7543] 7.1/s | YES: 4001 NO: 1676 | errors: 0 | ETA: 4.2m
    [5800/7543] 7.2/s | YES: 4045 NO: 1682 | errors: 0 | ETA: 4.0m
    [5850/7543] 7.2/s | YES: 4084 NO: 1691 | errors: 0 | ETA: 3.9m
    [5900/7543] 7.2/s | YES: 4129 NO: 1696 | errors: 0 | ETA: 3.8m
